Original_SMILES,Fragment
CN1CCCC1COC2=NC3=C(CCN(C3)C4=CC=CC5=C4C(=CC=C5)Cl)C(=N2)N6CCN(C(C6)CC#N)C(=O)C(=C)F,[1*]C(=O)C(=C)F
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[16*]c1ccc(F)c(Cl)c1
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[5*]N(C)C
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[14*]c1ncnc2cc([16*])c([16*])cc12
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[15*]C1CCOC1
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[3*]O[3*]
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[4*]CC[7*]
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[5*]N[5*]
CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4,[1*]C(=O)C[7*]
CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,[5*]N1CCOCC1
CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,[5*]N1CCC([15*])CC1
CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,[8*]CC
CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,[16*]c1cc2c(cc1[16*])C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,[7*]CC(=O)O
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,[7*]CC1=C(C)CCCC1(C)C
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,[7*]CC[7*]
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,[7*]CC([7*])C
CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,[6*]C(N)=O
CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,[8*]C(C)(C)C(F)(F)F
CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,[5*]N1CCCC1[13*]
CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,[5*]N[5*]
CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,[14*]c1nc(C)c([14*])s1
CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,[14*]c1cc([16*])ccn1
CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,[1*]C([1*])=O
CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,[5*]N(C)C
CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,[14*]c1nc([14*])nc([14*])n1
C(CC(=O)O)C(=O)CN,NCC(=O)CCC(=O)O
CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N,[3*]OC1CC([15*])(N)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O
CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N,[13*]C1CC(O)C(O)CO1
CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N,[6*]C(C)=O
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,[16*]c1ccc([16*])c([16*])c1
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,[16*]c1c2ccccc2nc2ccccc12
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,[5*]N[5*]
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,[3*]OC
COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,[12*]S(C)(=O)=O
