Query_SMILES,Rank,Similarity,Viable_SMILES
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,21,0.10227272727272728,[16*]c1c2ccccc2nc2ccccc12.[4*]C(CC(C)C)B(O)O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,22,0.10101010101010101,[16*]c1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12.[8*]C(C)O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,23,0.10084033613445378,CC1CNC(=O)c2cnn3ccc(nc23)NC(C)c2cc(F)ccc2O1.[16*]c1ccc(Cl)c([16*])c1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,24,0.09782608695652174,NCCCC(N)(C(=O)O)C(F)F.[16*]c1cnc(N)nc1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,25,0.0967741935483871,[1*]C(=O)C(=C)F.[9*]n1c([14*])nc2cccc(F)c2c1=O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,26,0.09523809523809523,[16*]c1cccc([16*])c1C.[5*]N1CCC([15*])C1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,27,0.09523809523809523,[16*]c1cc(Cl)ccc1Cl.[5*]N1CCN(C)CC1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,28,0.09473684210526316,[1*]C(=O)C([4*])C[4*].[9*]n1cnc2c(N)nc(Cl)nc21
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,29,0.09473684210526316,[1*]C(=O)CCCC.[5*]N1CCc2c([14*])nc([14*])nc2C1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,30,0.09411764705882353,[5*]N[5*].[9*]n1cnc2c(N)nc(Cl)nc21
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,31,0.09375,[16*]c1ccc2nc(C)[nH]c(=O)c2c1.[9*]n1nc([14*])c([16*])c1N
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,32,0.09195402298850575,S=P(N1CC1)(N1CC1)N1CC1.[9*]n1cnc(N)nc1=O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,33,0.09090909090909091,[10*]N1C(=O)c2ccccc2C1=O.[14*]c1cc([16*])c(Cl)cn1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,34,0.09090909090909091,[13*]C1CCCCO1.[9*]n1cc(F)cn1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,35,0.09090909090909091,[14*]c1ncnc2[nH]ccc12.[8*]CCCCN
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,36,0.09090909090909091,[16*]c1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12.[4*]CC
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,37,0.08888888888888889,[1*]C(=O)C([4*])CO.[16*]c1cc2nccc([16*])c2cc1[16*]
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,38,0.08571428571428572,[4*]C(C)C.[5*]N1CCN([5*])CC1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,39,0.08536585365853659,[16*]c1cccc([16*])c1C.[9*]n1ccc([14*])n1
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,40,0.08536585365853659,[14*]c1ncnc2ccc([16*])cc12.[8*]C[8*]
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,41,0.0851063829787234,[14*]c1oc2ccc(F)cc2c(=O)c1[16*].[7*]C([8*])CCCl
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,42,0.0851063829787234,[14*]c1ccccn1.[9*]n1cnc2c(N)nc3ccccc3c21
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,43,0.08490566037735849,[1*]C(=O)NOC.[3*]OC1CC([15*])(O)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O
CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,44,0.08433734939759036,[14*]c1cc([16*])c(Cl)cn1.[14*]c1cc([16*])ccn1
